"Your Kindle Notes For:",,,
"THE ST. GALLEN MAFIA: EXPOSING THE SECRET REFORMIST GROUP WITHIN THE CHURCH",,,
"by Julia Meloni",,,
"Free Kindle instant preview:",,,
"https://a.co/cvIxtvz",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 54","","“Communion for the divorced and ‘remarried’ [comes] first. Then abolition of priestly celibacy, second. Priesthood for women is the ultimate aim, and lastly unification with the Protestants. Then we will have a national German church, independent from Rome. Finally, together with all the Protestants.”"
"Highlight (Yellow)","Location 62","","It tells the tale of one don—an ante-pope named Cardinal Martini—one underboss called Cardinal Silvestrini, a few capos like the man Cardinal Danneels, who revealed the mafia’s secrets to the world, and a few handfuls of soldiers."
"Highlight (Yellow)","Location 100","","We are building a dictatorship of relativism that does not recognize anything as definitive and whose ultimate goal consists solely of one’s own ego and desires.”"
"Highlight (Yellow)","Location 120","","Martini, Danneels, Kasper, Murphy-O’Connor, Silvestrini. They were the key members and alumni of the St. Gallen mafia, and just days after Pope John Paul II’s funeral, they secretly met at the Villa Nazareth, a Roman college residence, at Silvestrini’s invitation.9 The way German journalist Paul Badde heard it, they had the “absolute aim” of getting Ratzinger “out of the race” so they could elect Martini as pope."
"Highlight (Yellow)","Location 133","","And so in 1996, when the revolutionaries held him up as the next pope, Martini founded the St. Gallen mafia. Its glue—according to Danneels’s authorized biography—was not an idea but a person. The group’s spark derived from its opposition to Ratzinger, the right-hand man of John Paul II’s conservative papacy."
"Highlight (Yellow)","Location 143","","Inexorably, the trembling progressed, until he could no longer deny nor hide it.15 Martini had Parkinson’s disease."
"Highlight (Yellow)","Location 145","","“Martini was well aware that after John Paul II’s long illness, the Church could not afford to have another ill pope,” said Silvestrini after the conclave."
"Highlight (Yellow)","Location 168","","With Silvestrini’s arrival in 2003, the mafia became increasingly fixated on planning for John Paul II’s succession."
"Highlight (Yellow)","Location 169","","“When Cardinal Silvestrini joined the group it took on a more tactical and strategic character,” confirms a biographer of Danneels.26"
"Highlight (Yellow)","Location 201","","But ironically—according to a Latin American cardinal who knew Silvestrini well—Silvestrini’s “big problem” came from Martini.38 Martini “absolutely” refused to back Bergoglio, his fellow Jesuit."
"Highlight (Yellow)","Location 233","","According to a cardinal who knew Ratzinger, had the conclave dragged on, the German would have asked his supporters to shift their votes to Cardinal Camillo Ruini.48 And rumor had it that Martini dreaded a conservative Ruini papacy so much that he preferred to act as the deus ex machina for Ratzinger’s rise."
"Highlight (Yellow)","Location 243","","Why did Politi,52 Marco Garzonio,53 Alberto Melloni,54 and other respected Vatican experts soon insist that Martini, in extremis, had instructed his supporters to back Ratzinger?"
"Highlight (Yellow)","Location 246","","Why was it said that, during the same lunch break, Bergoglio had indicated that his own supporters should vote for Ratzinger?55"
"Highlight (Yellow)","Location 249","","Why, after lunch, did Ratzinger so swiftly metamorphose into Pope Benedict XVI, one of the fastest popes to be elected in the past hundred years, elevated after just four ballots?57"
"Highlight (Yellow)","Location 403","","Claiming to offer hard vote counts from an anonymous cardinal, the diary alleged that on the first ballot, Ratzinger earned forty-seven votes, Martini earned nine, and Bergoglio earned ten."
"Highlight (Yellow)","Location 416","","But this narrative was, as many soon realized, a revisionist history, etched by some anti-Ratzingerian hand. First came the issue of whether the diary’s vote counts could be trusted."
"Highlight (Yellow)","Location 418","","Based on conversations with eight different cardinals, vaticanista John Allen Jr. determined that Ratzinger in fact ended up with almost 100 out of 115 votes—not the diary’s 84."
"Highlight (Yellow)","Location 429","","By the end of the third ballot, Ratzinger had already secured the set number of votes. According to Politi, once Ratzinger secured this majority, Bergoglio’s supporters realized that they could not win. As one European cardinal put it, they understood that Bergoglio would not get “one more vote.”8 But that did not stop the revolutionaries from downsizing Ratzinger’s victory with the stroke of a pen—making it seem as if he barely met the threshold for becoming pope."
"Highlight (Yellow)","Location 435","","And according to Diat, a number of high-ranking prelates believe that the cardinal who leaked the mysterious diary was none other than Silvestrini."
"Highlight (Yellow)","Location 444","","Silvestrini was a major engineer of Ostpolitik—the Vatican policy that, according to de Mattei, “attributed a positive value to modernity, of which Communism appeared to be the ultimate expression. Communism wasn’t to be condemned, but purified of its atheism and reconciled with Christianity.”11"
"Highlight (Yellow)","Location 472","","Thus came what Fr. Claude Barthe calls the central thesis of this “post-Benedict XVI” manifesto: secularization must be accepted as the means for destroying an old, Tridentine model of the Church."
"Highlight (Yellow)","Location 586","","And one day, Martini would emerge as a spiritual heir to a key Vatican II revolutionary: Fr. Karl Rahner, SJ."
"Highlight (Yellow)","Location 601","","Ultimately, according to progressive theologian Hans Küng, the Roman Curia “was able to stop any movement of reform”—though “not completely, but half-way.”13 This “half-way” revolution generated Vatican II’s “ambivalent” and ambiguous documents."
"Highlight (Yellow)","Location 612","","That ambiguity and ambivalence were dangerous. Martini and others would exploit the danger to follow the freewheeling “spirit of Vatican II” up the mountain of revolution."
"Highlight (Yellow)","Location 614","","But in the meantime, Ratzinger began speaking sadly of the growing impression “that actually nothing was firm in the church, that everything was up for revision.”"
"Highlight (Yellow)","Location 815","","Communion for the divorced and civilly remarried, the autonomy of conscience, synodality, the ordination of married men and women, the possibility of voting for pro-abortion politicians—these were the dreams of the man who might be called the father of the St. Gallen mafia."
"Highlight (Yellow)","Location 996","","In July 1968, Danneels, vacationing as a tourist in Italy, watched as Pope Paul VI released Humanae Vitae, which reaffirmed the Church’s ancient ban on contraception. Then Danneels watched as Suenens and Philips gained public credibility by undermining the papal text."
"Highlight (Yellow)","Location 1027","","“I wouldn’t be surprised if the pope also retired after 2000. He absolutely wanted to reach the Jubilee year, but I believe he would retire afterward.”18 The remarks from Danneels and Lehmann were, as James Hitchcock puts it, “trial balloons” by which “speakers ‘predict’ what they hope will happen, intending their predictions to help bring it about.”"
"Highlight (Yellow)","Location 1031","","“When prominent prelates openly speculate about the pope’s retirement, it is for the purpose of making the idea more acceptable,” says Hitchcock."
"Highlight (Yellow)","Location 1047","","When Pope Benedict invited all the cardinals to a spur-of-the-moment supper that night, Danneels, with a number of other cardinals, snubbed the new pope and skipped it."
"Highlight (Yellow)","Location 1114","","Now, he embraced the notion of moral “gray areas” in an interview that some claimed read “like the manifesto of an antipope.”"
"Highlight (Yellow)","Location 1116","","He said that life did not begin immediately with fertilization but rather sometime later. Martini urged the Church to move past “the rejection of every form of artificial fertilization."
"Highlight (Yellow)","Location 1118","","He said, “Certainly, in some situations the use of condoms can constitute a lesser evil.” Then Martini flagged the situation of a spouse with AIDS."
"Highlight (Yellow)","Location 1135","","In 1987, Ratzinger admonished the US bishops for trying to circumvent Rome on the issue of condoms."
"Highlight (Yellow)","Location 1144","","According to Allen, Ratzinger was elected in part because “some cardinals felt the Church was long overdue for some reforms that only someone of Ratzinger’s stature and unquestioned orthodoxy could engineer."
"Highlight (Yellow)","Location 1155","","In Night Conversations, Martini eerily called himself an “ante-pope, a precursor and preparer for the Holy Father.” This notion was, says author Antonio Socci, a clever wordplay for evading accusations of being an “antipope.”"
"Highlight (Yellow)","Location 1477","","In a glowing 1995 tribute, Ratzinger spoke of how Martini, despite all his differences, complemented him.6 And there it was—Benedict’s generosity, his largeness of heart, the part of him that stood by old friends and collaborators with uncomplicated loyalty."
"Highlight (Yellow)","Location 1803","","“It is generally thought,” says historian Henry Sire, “that Pope Benedict’s purpose in abdicating was to bring about the succession of Cardinal [Angelo] Scola.”"
"Highlight (Yellow)","Location 1837","","The Great Reformer."
